職缺名稱,職缺連結,公司名稱,地區,月薪,給薪方式
程式設計師_PHP後端助理工程師,https://www.cakeresume.com/companies/ktrees/jobs/programmer_php-backend-assistant-engineer,汘澍文創有限公司,35K ~ 52K TWD / month,month,
後端工程師 Backend Engineer,https://www.cakeresume.com/companies/icard-ai/jobs/backend-engineer-d8cbf6,iCard.AI ,700K ~ 1.5M TWD / year,year,
【資訊部】後端工程師(junior) （Spring-boot）,https://www.cakeresume.com/companies/tw-shopping99-shop_id-www/jobs/information-department-php-java-website-engineer,耐德科技股份有限公司(SHOPPING99),40K ~ 60K TWD / month,month,
PHP後端工程師,https://www.cakeresume.com/companies/foodomo-home/jobs/php-backend-engineer-9eecee,專聯科技股份有限公司,60K ~ 80K TWD / month,month,
後台系統專案-後端實習工程師,https://www.cakeresume.com/companies/kccapital/jobs/back-end-system-project-back-end-trainee-engineer,凱德資本股份有限公司,18K ~ 26K TWD / month,month,
後端工程師(Backend),https://www.cakeresume.com/companies/vanadium-tech/jobs/backend-engineer-backend,冠釩科技股份有限公司,50K ~ 70K TWD / month,month,
JAVA後端工程師,https://www.cakeresume.com/companies/jamm-active/jobs/system-planning-engineer-business-analyst,JAMM Active,35K ~ 60K TWD / month,month,
網頁全端開發工程師(派駐聯發科-竹北台元/內湖),https://www.cakeresume.com/companies/career-7f3d0e/jobs/8edb87,就業情報資訊股份有限公司新竹分公司,40K ~ 55K TWD / month,month,
後端工程師,https://www.cakeresume.com/companies/ctwant-755989/jobs/software-engineer-211203,王道旺台媒體股份有限公司,40K ~ 60K TWD / month,month,
遊戲後端工程師(NodeJS Back-end engineer),https://www.cakeresume.com/companies/catan/jobs/nodejs-back-end-engineer,卡坦科技股份有限公司,40K ~ 70K TWD / month,month,
[RD] WEB後端工程師(backend engineer),https://www.cakeresume.com/companies/i-buzz/jobs/rd-backend-engineer,亞洲指標數位行銷顧問股份有限公司,50K ~ 65K TWD / month,month,
後端工程師 (兼職/接案),https://www.cakeresume.com/companies/vanko_/jobs/back-end-development-engineer-part-time-acceptance, VANKO_豪弓實業有限公司,400 ~ 800 TWD / hour,hour,
後端工程師,https://www.cakeresume.com/companies/chisu/jobs/back-end-engineer-2d76f5,池御科技,36K ~ 50K TWD / month,month,
JAVA後端工程師,https://www.cakeresume.com/companies/initrisetech/jobs/java-back-end-engineer-ce69df,創昇資訊有限公司,55K ~ 90K TWD / month,month,
後端工程師,https://www.cakeresume.com/companies/aptan/jobs/back-end-engineer-6832bd,晟悅科技有限公司,40K ~ 60K TWD / month,month,
Software Engineer/軟體工程師-後端工程師 ,https://www.cakeresume.com/companies/facebook-yispaces/jobs/5f2e26,逸空間有限公司,50K ~ 80K TWD / month,month,
Backend Developer (後端工程師),https://www.cakeresume.com/companies/MoneySQ/jobs/backend-developer-d48c0a,香港商錢匯發展有限公司台灣分公司,750K ~ 1M TWD / year,year,
(Junior) 後端工程師Back-end Engineer (Python),https://www.cakeresume.com/companies/lin-ee-3enggyr/jobs/junior-back-end-engineer-python,歐零距行銷科技有限公司,40K ~ 50K TWD / month,month,
