職缺名稱,職缺連結,公司名稱,地區,月薪,給薪方式
第一事業群-產品開發一處-開發一組-程式設計師/軟體工程師 (C++),https://www.cakeresume.com/companies/kway/jobs/db0077,凱衛資訊股份有限公司-第一事業群,35K ~ 75K TWD / month,month,
Java軟體工程師 Software Engineer ,https://www.cakeresume.com/companies/e-utc/jobs/project-manager-88ba08,榮利科技股份有限公司,40K ~ 45K TWD / month,month,
.NET軟體工程師 Software Engineer ,https://www.cakeresume.com/companies/e-utc/jobs/d47868,榮利科技股份有限公司,40K ~ 45K TWD / month,month,
資深Web軟體工程師/系統分析師,https://www.cakeresume.com/companies/wonderland/jobs/e-commerce-frontend-develope,明門實業股份有限公司,700K ~ 1.5M TWD / year,year,
前端工程師,https://www.cakeresume.com/companies/paradise-soft/jobs/front-end-engineer-907005,天堂遊戲有限公司,40K ~ 70K TWD / month,month,
軟體設計工程師  Software Engineer,https://www.cakeresume.com/companies/medialand-4087d0/jobs/software-engineer-fb8556,米蘭營銷策劃股份有限公司,36K ~ 55K TWD / month,month,
Cloud 軟體工程師,https://www.cakeresume.com/companies/vivotek/jobs/cloud-software-engineer-546e3c,VIVOTEK 晶睿通訊股份有限公司,50K ~ 90K TWD / month,month,
軟體研發工程師(SAD),https://www.cakeresume.com/companies/vivotek/jobs/software-development-engineer-sad,VIVOTEK 晶睿通訊股份有限公司,50K ~ 100K TWD / month,month,
(資深)Java工程師 (Sr.)Java Engineer_台北,https://www.cakeresume.com/companies/TPIsoftware/jobs/senior-java-developer-taipei,昕力資訊 TPIsoftware,40K ~ 80K TWD / month,month,
數據應用前端工程師 / Data Frontend Engineer (React.js),https://www.cakeresume.com/companies/91app/jobs/data-frontend-engineer-react-js,91APP,"Regular earnings reach NT$40,000","RegularearningsreachNT$40,000",
"數據應用工程師 / Data Pipeline Engineer (SQL, Python) ",https://www.cakeresume.com/companies/91app/jobs/31d006,91APP,"Regular earnings reach NT$40,000","RegularearningsreachNT$40,000",
總部-MES程式開發工程師,https://www.cakeresume.com/companies/cymmetrik-group/jobs/headquarters-mes-program-development-engineer,正美企業 Cymmetrik Group,40K ~ 40K TWD / month,month,
PHP網頁工程師 / 全端工程師,https://www.cakeresume.com/companies/photonic/jobs/php-web-engineer-full-end-engineer,傳訊光科技股份有限公司,50K ~ 60K TWD / month,month,
JAVA工程師,https://www.cakeresume.com/companies/d38998/jobs/java-engineer-773250,博賢人力資源有限公司,700K ~ 1M TWD / year,year,
資深Java工程師,https://www.cakeresume.com/companies/ace-home/jobs/senior-java-engineer-0164d1,王牌數位創新股份有限公司,70K ~ 180K TWD / month,month,
.Net C#軟體工程師,https://www.cakeresume.com/companies/cybersoft4u/jobs/net-c-software-engineer,經貿聯網科技股份有限公司,40K ~ 80K TWD / month,month,
JAVA軟體工程師,https://www.cakeresume.com/companies/cybersoft4u/jobs/java-software-engineer-33657f,經貿聯網科技股份有限公司,40K ~ 80K TWD / month,month,
資深.Net工程師,https://www.cakeresume.com/companies/cybersoft4u/jobs/senior-net-engineer,經貿聯網科技股份有限公司,50K ~ 90K TWD / month,month,
雲端系統軟體開發工程師(Cloud Application),https://www.cakeresume.com/companies/viatech-tw/jobs/cloud-application-engineer-831d56,威盛電子股份有限公司,55K ~ 100K TWD / month,month,
前端工程師 Front-End Developer ｜React 前端工程師,https://www.cakeresume.com/companies/tappie/jobs/react-front-end-engineer,遊麒科技股份有限公司,32K ~ 55K TWD / month,month,
PHP軟體工程師 Junior PHP Developer (網頁開發),https://www.cakeresume.com/companies/core-tech/jobs/30b497,核心技術有限公司,45K ~ 60K TWD / month,month,
Full Stack Engineer 全端工程師,https://www.cakeresume.com/companies/jubo-health/jobs/full-Stac-Engineer,智齡科技股份有限公司,600K ~ 1M TWD / year,year,
C#軟體工程師,https://www.cakeresume.com/companies/digiwin-tw/jobs/c-software-engineer-d991f2,鼎新電腦股份有限公司,35K ~ 70K TWD / month,month,
雲端開發工程師,https://www.cakeresume.com/companies/fiti-index-html/jobs/cloud-development-engineer,天新資訊股份有限公司,40K ~ 70K TWD / month,month,
軟體工程師,https://www.cakeresume.com/companies/faninsights/jobs/software-engineer-066c54,社群洞察股份有限公司,50K ~ 75K TWD / month,month,
Unity 3D 工程師,https://www.cakeresume.com/companies/thinkerstem/jobs/unity-developer-cd6444,ThinkerSTEM,45K ~ 45K TWD / month,month,
ASP.Net工程師,https://www.cakeresume.com/companies/digitm-dfaf63/jobs/mis-engineer-11a1c4,數字廣告股份有限公司,40K ~ 55K TWD / month,month,
Node.JS 工程師,https://www.cakeresume.com/companies/batmobile/jobs/node-js-engineer-01788b,蝙蝠移動數據科技股份有限公司,40K ~ 50K TWD / month,month,
電商平台前端工程師,https://www.cakeresume.com/companies/fasney/jobs/front-end-engineer-of-e-commerce-platform,美而快電商金融科技股份有限公司,35K ~ 60K TWD / month,month,
全端工程師 (實習生),https://www.cakeresume.com/companies/yudacang/jobs/full-range-engineer-intern,御大倉有限公司,22K ~ 28K TWD / month,month,
軟體工程師,https://www.cakeresume.com/companies/hohoho/jobs/software-engineer-815c25,合邦商網股份有限公司,45K ~ 60K TWD / month,month,
APP 軟體工程師 - Flutter software Engineer,https://www.cakeresume.com/companies/vanadium-tech/jobs/ios-software-engineer-2700e9,冠釩科技股份有限公司,45K ~ 75K TWD / month,month,
程式設計開發工程師,https://www.cakeresume.com/companies/settour/jobs/program-design-and-development-engineer,東南旅行社股份有限公司,32K ~ 65K TWD / month,month,
資深全端網頁工程師 Senior Full-Stack Web Developer,https://www.cakeresume.com/companies/meettheone/jobs/internet-full-end-engineer,meettheone 心理學見面交友  l  闌珊處網路,800K ~ 1M TWD / year,year,
Python 工程師,https://www.cakeresume.com/companies/xmight/jobs/python-engineer,岳鼎股份有限公司,42K ~ 52K TWD / month,month,
Node.js工程師,https://www.cakeresume.com/companies/104-company-1a2x6bls3w-jobsource-amp_cust/jobs/node-js-engineer-8ababe,腦內啡科技有限公司,40K ~ 45K TWD / month,month,
助理/初階工程師(台北),https://www.cakeresume.com/companies/impacts-cloud/jobs/assistant-junior-engineer-taipei,快思股份有限公司,30K ~ 45K TWD / month,month,
全棧工程師,https://www.cakeresume.com/companies/fit-foxconn/jobs/full-stack-engineer-d7c8e0,鴻海集團_鴻騰精密科技股份有限公司,"Regular earnings reach NT$40,000","RegularearningsreachNT$40,000",
Java工程師,https://www.cakeresume.com/companies/easontech/jobs/java-engineer-8fd02e,毅聲科技有限公司,35K ~ 45K TWD / month,month,
.NET工程師,https://www.cakeresume.com/companies/easontech/jobs/net-engineer-208570,毅聲科技有限公司,30K ~ 45K TWD / month,month,
【福利佳】前端工程師,https://www.cakeresume.com/companies/104-jobbank-custjob-index-php-r-cust-j-66424a733c3e466f383a426b40463e2193131312d4874647109j54-jobsource-jobsource-joblist_r_cust/jobs/e1149b,博發科技有限公司,50K ~ 80K TWD / month,month,
PHP 助理工程師 ,https://www.cakeresume.com/companies/nsdi/jobs/php-assistant-engineer,山川久也設計有限公司,30K ~ 45K TWD / month,month,
軟體工程師,https://www.cakeresume.com/companies/xred/jobs/software-engineer-f3d035,先宏資訊有限公司,28K ~ 38K TWD / month,month,
【技術部】前端工程師,https://www.cakeresume.com/companies/104-company-1a2x6bl0n7/jobs/technology-department-front-end-senior-engineer,聖霏有限公司,40K ~ 80K TWD / month,month,
【長期專案】Java 工程師,https://www.cakeresume.com/companies/kaishanli/jobs/long-term-project-java-engineer,開山里科技股份有限公司,50K ~ 65K TWD / month,month,
Java 軟體工程師,https://www.cakeresume.com/companies/plur/jobs/junior-java,樸樂股份有限公司,50K ~ 70K TWD / month,month,
Python 工程師,https://www.cakeresume.com/companies/2bite/jobs/python-engineer-8a5fa5,數位左右有限公司,38K ~ 45K TWD / month,month,
PHP 網頁工程師,https://www.cakeresume.com/companies/doubleservice-ee7d2d/jobs/php-web-engineer-099ae7,樂倍達數位科技股份有限公司,30K ~ 40K TWD / month,month,
ERP 軟體工程師,https://www.cakeresume.com/companies/rsiapparel/jobs/erp-software-engineer,信源企業股份有限公司,40K ~ 55K TWD / month,month,
高級JAVA工程師,https://www.cakeresume.com/companies/facebook-stargoodjob/jobs/senior-java-engineer-5eba8a,星悅管理顧問有限公司,45K ~ 80K TWD / month,month,
Python資深工程師,https://www.cakeresume.com/companies/syncode-1ab0d3/jobs/python-senior-engineer,順皇科技有限公司,35K ~ 60K TWD / month,month,
 Java 軟體工程師,https://www.cakeresume.com/companies/twarmitech/jobs/java-software-engineer-1c7b0d,奧米科技有限公司,40K ~ 65K TWD / month,month,
PHP工程師,https://www.cakeresume.com/companies/lungteng/jobs/php-engineer-6d6a34,龍騰文化事業股份有限公司,38K ~ 45K TWD / month,month,
PHP資深/工程師,https://www.cakeresume.com/companies/otg-o2ogt-admin-o2o_web-index_ch-html/jobs/php-software-engineer-bddb48,歐銀數位科技有限公司,40K ~ 100K TWD / month,month,
Java軟體工程師,https://www.cakeresume.com/companies/otg-o2ogt-admin-o2o_web-index_ch-html/jobs/java-software-engineer-dae05d,歐銀數位科技有限公司,45K ~ 65K TWD / month,month,
Java軟體工程師,https://www.cakeresume.com/companies/cloudysys/jobs/java-software-engineer-cbbf51,雲端達人科技股份有限公司,35K ~ 59K TWD / month,month,
PHP工程師,https://www.cakeresume.com/companies/hiin/jobs/php-engineer-80f436,海音數位創意有限公司,40K ~ 60K TWD / month,month,
.NET 研發工程師  (實習),https://www.cakeresume.com/companies/GreenBox/jobs/net-9240bb,無毒農-友善環境的安心水果,150 ~ 180 TWD / day,day,
PHP軟體工程師,https://www.cakeresume.com/companies/inna-organic/jobs/php-software-engineer-228f1d,童顏有機股份有限公司,40K ~ 50K TWD / month,month,
.Net程式設計師(台北)-醫療領域(MCD20/30/50),https://www.cakeresume.com/companies/iisigroup/jobs/87d314,資拓宏宇國際股份有限公司,40K ~ 60K TWD / month,month,
Rails Developer,https://www.cakeresume.com/companies/5xruby-a77621/jobs/rails-developer-37ad4d,五倍紅寶石專業程式教育機構,40K ~ 50K TWD / month,month,
Java程式設計師-數位銀行/金融分行/金融應用/金融核心領域(FBD20/30/40/50),https://www.cakeresume.com/companies/iisigroup/jobs/java-programmer-digital-banking-field-fbd50,資拓宏宇國際股份有限公司,40K ~ 60K TWD / month,month,
Supporting RD,https://www.cakeresume.com/companies/airapha365-webnode/jobs/supporting-rd,艾諾法智能股份有限公司,2K ~ 2K TWD / day,day,
Project Manager 專案經理,https://www.cakeresume.com/companies/blocktempo/jobs/project-manager-f0c162,動區動趨 BlockTempo,40K ~ 55K TWD / month,month,
前端工程實習生(Intern- Frontend Developer),https://www.cakeresume.com/companies/memopresso-inc/jobs/intern-frontend-developer-3ff75c,Memopresso Taiwan,15K ~ 30K TWD / month,month,
iOS(Swift) APP Developer,https://www.cakeresume.com/companies/liontech-zh-tw-index/jobs/ios-swift-app-developer,雄獅集團＿雄獅資訊科技,40K ~ 60K TWD / month,month,
Android(Kotlin) APP Developer,https://www.cakeresume.com/companies/liontech-zh-tw-index/jobs/android-kotlin-app-developer,雄獅集團＿雄獅資訊科技,40K ~ 60K TWD / month,month,
【IT】網頁設計師,https://www.cakeresume.com/companies/tkb/jobs/it-web-designer,台灣知識庫股份有限公司,35K ~ 50K TWD / month,month,
Vue前端網頁設計師,https://www.cakeresume.com/companies/mercuryfire/jobs/vue-front-end-web-designer,水星防火工程顧問有限公司,40K ~ 50K TWD / month,month,
UX/UI 設計師,https://www.cakeresume.com/companies/dot-zero-co-ltd/jobs/ux-ui-designer-77afb7,達易智造,40K ~ 80K TWD / month,month,
專案管理師/專案經理(Project Manager) ,https://www.cakeresume.com/companies/vanadium-tech/jobs/projectmanager,冠釩科技股份有限公司,40K ~ 80K TWD / month,month,
25sprout Project Manager,https://www.cakeresume.com/companies/25sprout_LLC/jobs/25sprout-assistant-project-manager-76cb07,新芽網路股份有限公司,560K ~ 672K TWD / year,year,
【新鮮人月薪 13 萬起】人才培訓計劃：Android Engineer,https://www.cakeresume.com/companies/mixerbox/jobs/talent-training-program-android-engineer,MixerBox,130K+ TWD / year,year,
【新鮮人月薪 13 萬起】人才培訓計劃：iOS Engineer,https://www.cakeresume.com/companies/mixerbox/jobs/1e153d,MixerBox,130K+ TWD / month,month,
